Classificação,Comentários
Portabilidade parcial de linhas solicitadas,"Em outubro de 2020 recebi proposta da claro de portabilidade de celular  junto com aumento do combo de internet residencial (eles me ligaram e até hoje ligam oferecendo), na ocasião aceitei a  portabilidade de 2 números para a Claro e somente 1 foi portado (21 9798907-64) . Já abri diversos protocolos e pedidos de portabilidade para o outro número e eles não concretizam. Devido esse fato estou a 5 meses pagando  dois planos de celular em 2 operadoras diferentes. _x000D_
Peço aqui que a Anatel junto a operadora Claro resolva meus problemas:_x000D_
1º) efetive a portabilidade do número 21 981161330 (Tim) em substituição do número provisórios da claro 21 993190204; e _x000D_
2º) Claro me devolva em forma de desconto na fatura os 4 meses pagos (DEZ2020 a atual) e não portados (serviço não prestado) da minha linha principal 21981161330 no valor mensal de R$ 60,01 por mês._x000D_
_x000D_
Protocolos junto a claro:  038214411144663, 038204371996285, 038204371996285, 038214443949170, 038214444180247, 038214461705058 (este foi o último protocolo aberto cujo a própria Claro não reconhece para reclamação na ouvidoria, mas ele consta nos registros de protocolos do meu cadastro no site). Foram  diversas tentativas por telefone e pelo Whatzap ao longo desses meses._x000D_
 _x000D_
Como agravante, a Claro não presta o serviço de qualidade de promete, a internet é lenta no RJ e demora a carregar, o sinal sempre fica fora do ar e depois que inseri esse chip temporário em meu celular eu passeia receber mais de 30 ligações por DIA de diversos assuntos que é muito perturbador. _x000D_
_x000D_
Tentei fazer o cancelamento junto a Claro neste último protocolo, pois o serviço não foi efetivado e é não é prestado, quando prestado não cumpre o ofertado e é de má qualidade e passar as linhas para pré pago para posteriormente migrar para outra operadora, mas eles estão me cobrando multa de R$ 500,00 EM CADA LINHA, por um serviço não prestado e por uma oferta oferecida  não verdadeira."
,"Dia 22/02/21 solicitei a portabilidade (migração interna) da Claro Fixo para NET Claro- protocolo 013211080039090 para o plano Ilimitado Mundo Total R$ 60,00 a mensalidade. Hoje liguei no 10621 e por minha surpresa não foi concluído a migração e atendente abriu novo protocolo 013211081839084 com prazo de 7 dias úteis (novamente)._x000D_
Número da linha a ser portada (31)3468-7745. Gentileza intervir."
,"Em outubro de 2020 recebi proposta da claro de portabilidade de celular  junto com aumento do combo de internet residencial (eles me ligaram e até hoje ligam oferecendo), na ocasião aceitei a  portabilidade de 2 números para a Claro e somente 1 foi portado (21 9798907-64) . Já abri diversos protocolos e pedidos de portabilidade para o outro número e eles não concretizam. Devido esse fato estou a 5 meses pagando  dois planos de celular em 2 operadoras diferentes. _x000D_
Peço aqui que a Anatel junto a operadora Claro resolva meus problemas:_x000D_
1º) efetive a portabilidade do número 21 981161330 (Tim) em substituição do número provisórios da claro 21 993190204; e _x000D_
2º) Claro me devolva em forma de desconto na fatura os 4 meses pagos (DEZ2020 a atual) e não portados (serviço não prestado) da minha linha principal 21981161330 no valor mensal de R$ 60,01 por mês._x000D_
_x000D_
Protocolos junto a claro:  038214411144663, 038204371996285, 038204371996285, 038214443949170, 038214444180247, 038214461705058 (este foi o último protocolo aberto cujo a própria Claro não reconhece para reclamação na ouvidoria, mas ele consta nos registros de protocolos do meu cadastro no site). Foram  diversas tentativas por telefone e pelo Whatzap ao longo desses meses. e que no site não consta esse protocolo, mas é um que eu tenho que abri com eles e 20201084670070._x000D_
 _x000D_
Como agravante, a Claro não presta o serviço de qualidade de promete, a internet é lenta no RJ e demora a carregar, o sinal sempre fica fora do ar e depois que inseri esse chip temporário em meu celular eu passeia receber mais de 30 ligações por DIA de diversos assuntos que é muito perturbador. _x000D_
_x000D_
Tentei fazer o cancelamento junto a Claro neste último protocolo, pois o serviço não foi efetivado e é não é prestado, quando prestado não cumpre o ofertado e é de má qualidade e passar as linhas para pré pago para posteriormente migrar para outra operadora, mas eles estão me cobrando multa de R$ 500,00 EM CADA LINHA, por um serviço não prestado e por uma oferta oferecida  não verdadeira."
,"Bom dia,_x000D_
Fiz a contratação dos serviço de internet e portabilidade do meu número de telefone que é empresarial que era da empresa Vivo, antes consultei a possibilidade do serviço junto a Empresa Claro, que por sua vez disse que era possível já que era o mesmo DDD e as cidades eram vizinhas,  os serviços foram agendados para o dia 10/11/2020 O técnico esteve na data agendada, fez a instalação da internet e o telefone disse que estaria funcionando em cinco dias, que era o prazo para o processo da portabilidade, passado o prazo o telefone não funcionou, liguei no 10621 refizeram a o processo o técnico esteve novamente no local e passado o prazo novamente nada aconteceu, já liguei inúmeras vezes, técnicos já estiveram aqui quatro ou cinco vezes e toda vez o telefone fica com um som, mas não funciona e depois de uns cinco dias fica mudo, na última vez que eu liguei no 10321 após o mesmo processo recebi uma ligação da Vivo que é a operadora do meu telefone dizendo que o processo de portabilidade tinha sido sucedido, fiquei animado, mas depois de alguns dias de espera o telefone ficou totalmente mudo novamente, então reclamei na ouvidoria da claro, que fez alguns contatos dizendo que seria resolvido, na semana passada me ligaram pela última vez dessa vez dizendo que não seria possível a portabilidade! A atendente não soube explicar o motivo! Eu preciso muito do número pois é um telefone comercial estou perdendo negócios por conta disso! detalhe! Ainda estou pagando as faturas da vivo pois tenho medo de perder o meu número, após a resolução espero também o ressarcimento do prejuízo que tive, aguardo contato, obrigado, att: Nélio. _x000D_
Balneário Camboriú 01/03/2021 _x000D_
"
Demora na portabilidade,"Pedi a portabilidade da Vivo para a Claro em dezembro de 2020. Deram a data da portabilidade (05/01/2021), enviaram o chip, porém a portabilidade nunca foi feita. E agora chegou uma fatura com o valor da mensalidade da Claro! Sabendo que a portabilidade nem foi feita"
Demora na portabilidade,"Descrição do problema: Consumidor(a) reclama que, solicitou portabilidade para a claro e não foi concluída ,  a operadora enviou um chip provisório que não esta funcionando. _x000D_
O que o(a) consumidor(a) solicita como providências:  reparo e conclusão da portabilidade. _x000D_
Serviço Reclamado: pós papago. _x000D_
Telefone associado ao problema(quando for linha telefônica)11983384711_x000D_
Protocolo da prestadora reclamada:2021181834168_x000D_
"
Cobrança indevida,"Assinei o contrato da portabilidade 17 novembro 2020 e até hoje não foi feito a portabilidade e estou sendo cobrado por duas operadoras Tim e claro. Além disso estou sendo cobrado por está ligando com  código 041 sendo que só realizo ligação 021. Não sei se e por isso que a internet nunca prestou, mas espero que resolva o problema."
,"Descrição do problema: Consumidor(a) reclama que a operadora está se negando a efetuar a mudança de titularidade dos seus serviços com a portabilidade._x000D_
O que o consumidor solicita como providências: A portabilidade com a mudança de titularidade._x000D_
Serviço reclamado: Telefonia fixa._x000D_
Telefone associado ao problema (quando for linha telefônica): 21 25613109"
Cobrança indevida,"Descrição do problema: Consumidor(a) reclama que foi solicitado a portabilidade, o procedimento não foi feito e operadora está cobrando uma multa por um serviço que não foi prestado. quando reclamou reclamou na operadora o próprio atendimento eletrônico informou que a linha não pertencia a operadora._x000D_
_x000D_
O que o consumidor solicita como providências: Cancelamento da multa _x000D_
_x000D_
Telefone associado ao problema: (41) 999815525_x000D_
_x000D_
Serviço Reclamado: Móvel _x000D_
_x000D_
Consumidor não passou o protocolo, ciente da importância."
Demora na portabilidade,"Bom dia.
Fiz uma solicitação de portabilidade do meu número 11 964698980 para Claro, fui informada que o processo iria acontecer dia 26/02 as 22:00.
A portabilidade não ocorreu e meu número está bloqueado para fazer e receber ligações."
,"Semana passada dia 22.01 fiz uma solicitação e a msm foi cancelada sem ser atendida.

Na semana passada recebi um contato da claro oferecendo um plano de telefonia móvel com portabilidade, aceitei o plano e fui informado que receberia o chip para ativação, na data de hoje dia 22.02 na msm data recebi um contato de um agente da Net informando que iria me transferir para a equipe responsável para ativação, aguardei na linha e a agente que me atendeu informou que não seria com ela e pediu para retornar no número 1052, ligando lá fui informando que tbem não era lá e seria no 08007236626 onde lá tbem fui informado que não seria com eles, resumindo ficaram me jogando de um lado para o outro, estão tentando fazer a portabilidade do meu número e é essa a forma que sou tratado vindo para cá ? Sem contar que não foi me informado nada sobre fidelidade de 12 meses que eu questionei depois e a agente disse que teria sim e eu novamente disse que não fui informado.
Aguardo contato
11958978624"
Portabilidade recusada sem detalhes,"Solicitei a portabilidade da minha linha 21 985455611 para a vivo. A portabilidade não  foi efetuada e a vivo me informou que  falta a autorização  da claro!
Exigo  meu direito a portabilidade conforme determinada  por lei. Que a claro faça imediatamente conforme meu pedido. "
,GOSTARIA DE SABER COMO ESTA O ANDAMENTO DA MUDANÇA DE TITULARIDADE SE JA OCORREU PRECISO DE RETORNO 
Demora na portabilidade,"Descrição do problema: Consumidor reclama que em Dez/20 foi feita a oferta da portabilidade da NEXTEL para a NET/CLARO, e a portabilidade até o presente momento não foi concluída e a consumidora está sendo cobrada por duas faturas das duas operadoras. _x000D_
O que o consumidor solicita como providências: conclusão da portabilidade. _x000D_
_x000D_
Serviço Reclamado: pós pago_x000D_
Telefone associado ao problema: (21) 964689693_x000D_
Protocolo Relacionado (protocolo Anatel): - _x000D_
Protocolo da prestadora reclamada: 038314461930615"
Portabilidade indevida para mesmo CPF,"No dia 29/01/2021 foi entrado em contato com a central Claro sob protocolo 202190438644 e 202101299425897 e solicitado que fosse revertido a portabilidade que foi feito da vivo para a claro, pois eu não havia solicitado, e queria e ainda quero que a minha linha 46999215906 volte para a vivo, de onde ela não deveria ter saído. A operadora solicitou o estorno da portabilidade para a operadora Vivo por meio do protocolo 06690746, no entanto, foi informado que o prazo para estorno é de 30 dias e como já ultrapassou o prazo, e não teria como estornar, e foi pedido para que eu fosse a uma loja da operadora Vivo e solicitasse a portabilidade da linha para a mesma (protocolo 06547659). Fiz um pedido (1-763908009011) junto a operadora Vivo de portabilidade da linha da operadora Claro para a Vivo, no entanto a mesma foi negada. PEÇO QUE SE A OPERADORA CLARO NÃO VAI ESTORNAR A MINHA LINHA COMO DEVERIA QUE ENTÃO LIBERE ELA PARA PORTAR, POIS FOI ESSA A ORIENTAÇÃO PASSADA. CASO A OPERADORA CLARO NÃO RESOLVA LIBERAR A LINHA, PARA A MESMA VOLTAR PARA A OPERADORA VIVO DE ONDE NUNCA DEVERIA TER SAÍDO, ACIONAREMOS A OPERADORA VIA JURÍDICO. "
,"Estou tendo um problema GRAVE com a operadora CLARO e não sei mais o que fazer. Preciso de ajuda. Segue o histórico dos fatos abaixo: _x000D_
No início de fevereiro de 2021 eu solicitei a portabilidade do meu número de celular da VIVO para a CLARO. Fui informada que o prazo para o recebimento do chip era de 5 dias úteis. (Observação: durante a ligação informei que o chip estava no CPF da minha mãe e não no meu, que não poderia trocar de número por agora e nem ficar sem essa linha durante o processo pois eu a utilizo para fins profissionais)_x000D_
Passados os 5 dias meu chip ainda não havia chegado, pedi para minha mãe ligar para a operadora a fim de verificar o que eu deveria fazer. _x000D_
Por meio do protocolo 2021168096229 minha mãe foi informada que o chip foi extraviado e EU precisaria ir a uma unidade da claro, apresentar uma foto da carteira de indentidade da minha mãe e retirar o chip presencialmente._x000D_
PRIMEIRO ABUSO DA CLARO: O chip foi extraviado por culpa da companhia e é o usuário que deve se deslocar para solucionar o problema._x000D_
Indo na unidade da claro fui informada que esse não era o procedimento correto e que apenas a minha mãe poderia retirar o novo chip. _x000D_
SEGUNDO ABUSO DA CLARO: As informações recebidas pelo atendimento eletrônico estavam erradas o que me causou custos com deslocamento desnecessário e transtono por não ter uma solução adequada._x000D_
Mesmo a operadora tendo a informação que meu chip estava extraviado eles realizaram a portabilidade do meu número e eu fiquei literalmente sem celular (não consigo receber ou fazer ligações, enviar ou receber mensagem, acessar a internet ou qualquer outro serviço). Essa foi justamente a minha solicitação para a companhia desde o início e basta ter acesso a gravação feita pela empresa para ter o registo concreto e a afimação do atendente que era impossível que isso acontecesse._x000D_
TERCEIRO ABUSO DA CLARO: Realizar a portabilidade do número de telefone do usuário mesmo tendo a informação que o seu chip estava extraviado e sabendo o transtorno que iria causar ao mesmo. _x000D_
Essa será a minha terceira semana sem celular, estou perdendo dinheiro, oportunidades e ainda estou sem perspectiva de solução por parte da empresa. E os abusos continuam. _x000D_
Como a falta desse número me prejudica muito eu e minha mãe estamos tentando resolver o problema. Já fomos extremamente mal atendidas e literalmente destratadas no atendimento eletrônico, onde em algumas ligações desligaram na nossa cara, passaram-nos números de telefone que não existem, nos transfereriram para canais aleatórios, deixaram a minha mãe falando sozinha. _x000D_
Fizemos uma reclamação com prazo de resposta de 48H e passado esse tempo a solução era fazer uma nova reclamação agora com prazo de resposta de 5 dias úteis. Tiveram dias que minha mão ligou mais de 12 vezes para a claro. Segue abaixo algum dos protocolos de atendimento da CLARO anotados:_x000D_
2021174140455; 2021174352806; 2021174375304; 2021174445270;e por aí vai..._x000D_
QUARTO ABUSO DA CLARO: O atendimento eletrônico foi extremamente abusivo, fazendo o consumidor dar voltas sem solução do problema e sendo tratado com total desrespeito. _x000D_
CONTINUA NO REGISTRO"
,"Descrição do problema: Reclama que solicitou portabilidade desde dezembro e até o momento não foi realizada._x000D_
O que o consumidor solicita como providências: Que operadora entre em contato para esclarecimentos e realize a portabilidade _x000D_
Serviço Reclamado: fixo_x000D_
Telefone associado ao problema(quando for linha telefônica):3125655434_x000D_
_x000D_
 _x000D_
"
,"Descrição do problema: Consumidor(a) reclama da prestadora CLARO  , pois informa que está tentando transferir a linha telefônica para outro endereço e já faz 1 mês que não conseguiu, por este motivo fez portabilidade da vivo para a claro e ao fazer o cadastro foi questionado se gostaria da portabilidade em pessoa física ou jurídica e que na opção jurídica o valor seria menor e aceitou em pessoa jurídica , e desde então está havendo erro ao tentar se cadastrar e concluir a portabilidade , no momento está sem o serviço telefônico._x000D_
O que o consumidor solicita como providências: concluir a portabilidade e o devido funcionamento da linha com urgência._x000D_
Serviço reclamado: telefone fixo _x000D_
Telefone associado ao problema: 1138019662_x000D_
_x000D_
Protocolo da prestadora reclamada:  003214789332271"
,"Descrição do problema: Consumidor reclama que solicitou portabilidade da linha, prestadora fez a instalação dos serviços mas não concluiu a portabilidade da linha._x000D_
_x000D_
O que o consumidor solicita como providências: Que seja concluído a portabilidade da linha com urgência._x000D_
Serviço Reclamado: Telefone Fixo_x000D_
Telefone associado ao problema: 3134762286_x000D_
_x000D_
Protocolo da prestadora reclamada: 013211081260760_x000D_
_x000D_
Nome: Henrique Nogueira _x000D_
CPF: 04254125631"
,"ESSA É A CONTINUAÇÃO DA RECLAMAÇÃO NA ANATEL Nº:  202103016092917_x000D_
_x000D_
QUINTO ABUSO DA CLARO: Quando eu pesquisei esses números de protocolo no site da ANATEL aparecia uma resposta de “protocolo inexistente” o que me leva a entender que a empresa não está registrando esse número de protocolo de forma correta. Uma ação gravíssima._x000D_
Eu e minha mãe moramos a quase 300km de distância e a solução dada pela companhia para nós foi a seguinte: Que não podem enviar um novo chip pelo correios e eu irei ficar sem celular até que a minha mãe vá pessoalmente em uma loja da claro e pague por um chip (como não há loja da claro na cidade dela ela teria que se deslocar para outra cidade para fazer isso) e ela ainda terá que ir pessoalmente no correios e endereçar esse chip para a minha residência. _x000D_
SEXTO ABUSO DA CLARO:  A responsabilidade pelo chip chegar na minha casa é exclusiva da CLARO, se o chip extraviou a culpa é EXCLUSIVA da empresa e não minha. A CLARO tem a obrigação de fazer o chip chegar até a minha residência, já que eu passei todos os dados certos. Esse tipo de solução é extremamente abusiva para o consumidor e nós iremos arcar integralmente com todos os gastos fora todo o dano moral?_x000D_
Ainda estamos sem solução para o nosso problema e no dia 26/02/2021 chegou a conta do plano ao qual eu havia contratado e que não estou utilizando por motivos aqui explicados. Um outro problema é que o número de telefone informado na conta NÃO É O MEU, o que me leva a pensar que no processo de portabilidade eles mudaram o meu número. _x000D_
SÉTIMO ABUDO DA CLARO: Cobrar ao consumidor um por um plano ao qual ele não esta utilizando. _x000D_
OITAVO ABUSO DA CLARO: A Cobrança indevida, referente a um número não utilizado pelo cliente. _x000D_
NONO ABUSO DA CLARO: Deve ser investigado se durante o processo de portabilidade a empresa mudou o meu número sem o meu consentimento, pois essa é uma violação gravíssima. _x000D_
"
,"Descrição do problema : Consumidor ( a) reclama que solicitou a instalação de uma banda larga fixa operadora ficou de fazer a instalação é não compareceu, com isso fez o cancelamento da instalação é o cancelamento da portabilidade. Operadora não fez o cancelamento da portabilidade . Operadora tinha informado que no dia 24/02/2021 já estava cancelado é informaram que não iria gerar custo._x000D_
O que o consumidor solicita como providência: Solicita o cancelamento da portabilidade urgente é ficar isento das cobranças._x000D_
Serviço reclamado:Pós-pago/ banda larga fixa _x000D_
Telefone com  problema: 91 982073045_x000D_
Protocolo: 202118572282_x000D_
"
Demora na portabilidade,"Desde o dia 25/01/2021 venho pedindo portabilidade do meu número (31)98476-6969 para operadora VIVO. Já pedi mais de 5 vezes.  Registrei uma reclamação aqui na ANATEL,  fui atendido, e orientado a esperar ate segunda feira dia 22/02 as 20 para que fosse feita a portabilidade gerando o protocolo 06999298 que não resolvido entrei em contato pela ouvidoria da claro via internet, canal fornecido pela operadora e eles disseram que somente ANATEL resolveria (protocolo 07916051), então reabri a reclamação e no dia 23/02 a claro entra novamente em contato, falando que o meu pedido de portabilidade não foi realizado, pq estava ""dentro do prazo"". Eu questionei, uma vez que o ultimo pedido de portabilidade feito por mim, foi no dia 17 de fevereiro, e naquele presente momento, já era pra ter migrado. O atendente falou que o prazo de 3 dias uteis era um prazo para que se tudo ocorresse bem, e que tinha visto casos de portabilidades de durarem até 2 meses. Questionei quais eram as pendências que eu tinha com a operadora para que isso fosse resolvido. O atendente se recusou a prestar a informação e delegou a responsabilidade para outra operadora. Avisei que a outra operadora me envia todos os documentos relativos a ativação do meu plano, e me informa que a CLARO recusou. Eu alertei que no site da ANATEL consta 3 dias uteis, e que aquilo não existia. Ele me pediu para esperar ate o dia 28 de Fevereiro que seria resolvido.  (Protocolo 07217068).  Acessei a resposta da operadora colocada nesta plataforma, consta como se eu tivesse pedido o portabilidade no dia 25/02 que apesar de não sido feito por mim em lojas físicas da VIVO ou pela internet como as outras vezes mantenho a minha vontade de migrar para outra operadora, e por isso o prozo até o dia 28/02. Alerto que este número, é também utilizado por mim como profissional. O que quase gerou um perda de remuneração alta referente uma dobra de carga horária, e outros prejuízos imensuráveis como profissional autônomo, onde consta tal número de contato em cartões distribuídos. Exijo soluções rápidas. "
